qid_hash,doc_id_hash,level,category,row_hash
h_a9a8a6d762a7bc06,,query,query_states_real_conflict,be1b08841a16c0f66b5f134340376256fc14dbb3020e5194d421348a02d3f17a
h_adddfcdb733eb699,,query,query_states_real_conflict,0784a7053ef35e8a20a9382038f42c82654a9a0983248f8433dfb88d44b57f5b
h_4b228af28a222492,,query,query_states_real_conflict,31c878bcc6beae1c67af120e75a9ad1954fe5d6bd1b069fb9a9674281959d957
h_4b228af28a222492,,query,risk_types_real_conflict,31c878bcc6beae1c67af120e75a9ad1954fe5d6bd1b069fb9a9674281959d957
h_09d7a1a61baf6400,,query,query_states_real_conflict,517f353831197fa62a4e60b5f3acd6f97d76866a956a6aed94c36cb2fde64af5
h_09d7a1a61baf6400,,query,risk_types_real_conflict,517f353831197fa62a4e60b5f3acd6f97d76866a956a6aed94c36cb2fde64af5
h_d8cbe284def1a50c,,query,query_states_real_conflict,4a75c66560f37e25a0f641fdd4a40b00935808ba7aa432340c14a1c7c01323f4
h_0731672f8ba38c22,,query,query_states_real_conflict,7f2fc2c927dd62461329fecb5f0d8e41915f74311719017de9415ef8d7eb7272
h_78f48a397b8667fb,,query,fully_consistent,95e4d93de6473f982fe9f9c0fbb94fdf32853ce8db8e6bb3c8be84658cf17730
h_1161687597cc5195,,query,query_states_real_conflict,8985244c0097ba5f128b20c1f6c26c20845b24b378a828bbfdc267a01feeafb6
h_2faf0130d11cda85,,query,query_states_real_conflict,58a8f9c44363b4c2e5a8fe2c202bd25591a9a610ef7bb32dd2952710cbd6cddb
h_5db72fe84a66029e,,query,query_states_real_conflict,b6816a9185fca2288b022c4f11707bc899b0114fccef9045ce7ee2cae93e17fe
h_2a3319e306b8c95e,,query,fully_consistent,77e41534ec4264e0a3bdf7197b700d618c65e75b8ccd741b1a2532a80eb9cd70
h_b0b65676432fe2c7,,query,fully_consistent,dc2f3a86457a93eef031e1c2fef1252f11aa62720f9e3d0781b1fa269ff71b66
h_a1696a9d4d35d8eb,,query,query_states_real_conflict,430d1f3d9836a9779a5786a0fc2c5c3eaeacb9a02c9169afcf0bc7063400ae04
h_56aee866aad71779,,query,query_states_real_conflict,4e974d244b1f122f1fcfd453f8b4f7cef14ee91a2ea285dcf640685ab960edb2
h_56aee866aad71779,,query,risk_types_real_conflict,4e974d244b1f122f1fcfd453f8b4f7cef14ee91a2ea285dcf640685ab960edb2
h_99e4b23a2a7866fb,,query,query_states_real_conflict,cfb23710c7d586774dadd735898472db391ad3c3974ed8b2856067bdaacd4f27
h_4d88f82a41ba4883,,query,query_states_real_conflict,0d8b27938f5b6140982523c299a336f74bc91145218c5fe9f92b92c87d5cc227
h_333a3915fe3e6e15,,query,query_states_real_conflict,cc7bd89f5352e374b9eabeae559b9991d5300ae5bcf750d522c1d6a84c58d070
h_35f315394f1454ca,,query,fully_consistent,3b30f32f662ab89955b6887c039db62f486604329c05ac95a21111ab9ee4674f
h_072ffa49ddd8d32b,,query,query_states_real_conflict,8063d48dcf18aecb2e84b5fa096595b654047fc8f16c4125ed976ed412dfb2a9
h_072ffa49ddd8d32b,,query,risk_types_real_conflict,8063d48dcf18aecb2e84b5fa096595b654047fc8f16c4125ed976ed412dfb2a9
h_a036806a6288ce8e,,query,query_states_real_conflict,cd0b9768fc46cb7d7e8e14c12c152c7548695479fd463b46479f09efaa0e78ba
h_a036806a6288ce8e,,query,risk_types_real_conflict,cd0b9768fc46cb7d7e8e14c12c152c7548695479fd463b46479f09efaa0e78ba
h_a5289f1960ec85df,,query,query_states_real_conflict,4aedd61c7523695314c7cc1e8498b27aacaa91ed54701ac76fd027ebbf0e5e70
h_a5289f1960ec85df,,query,risk_types_real_conflict,4aedd61c7523695314c7cc1e8498b27aacaa91ed54701ac76fd027ebbf0e5e70
h_0fcad1451d8a52f0,,query,query_states_real_conflict,bb5666d0aae6a4e568203ace26facc9680af5c1e0b23b9e36fbe24bfbb002110
h_3e9d095ffe04e1dd,,query,query_states_real_conflict,64e1d0c063d4dbf05d795b67a2544d87f7385dfcc80e38c71651908279f194e0
h_3e9d095ffe04e1dd,,query,risk_types_real_conflict,64e1d0c063d4dbf05d795b67a2544d87f7385dfcc80e38c71651908279f194e0
h_71845850351421e5,,query,query_states_real_conflict,5ebcd2e0a2818e576c1c901b68bbdb861ca9828ecefc4c2768c2404632dfbc09
h_71845850351421e5,,query,risk_types_real_conflict,5ebcd2e0a2818e576c1c901b68bbdb861ca9828ecefc4c2768c2404632dfbc09
h_935859e0ce70ad2d,,query,query_states_real_conflict,e14f1a5ba09d9a52ed5b863b1cf568fd11e5372d5344782e3ec22e3aadc7fea0
h_935859e0ce70ad2d,,query,risk_types_real_conflict,e14f1a5ba09d9a52ed5b863b1cf568fd11e5372d5344782e3ec22e3aadc7fea0
h_19879ff48ee99c08,,query,query_states_real_conflict,571b8c8cf4ef413629b8d045459f490cca361567f7ffda8de8dc0c20078fb70d
h_e035dfef0c456f9b,,query,query_states_real_conflict,0d951ed3b1f02a06bffecc7a97c903c174218793790605f9a75f6e41e2722c57
h_e035dfef0c456f9b,,query,risk_types_real_conflict,0d951ed3b1f02a06bffecc7a97c903c174218793790605f9a75f6e41e2722c57
h_1a6204d4805c9bdd,,query,query_states_real_conflict,a06076ce7b3fba94211f9fb147dccc48a1d8105a389399e02beee3d5064a9cfb
h_93f52c898e7493f0,,query,fully_consistent,7d5eb09805cb4dfd1940370a5170a8461f4032f70c9f07b31348ee5026fe7c75
h_4132aa9f914dd400,,query,query_states_real_conflict,80a74b5fb8281db2be7b37b9f83468044345e6302a9a82f782a30ce7fbedebc7
h_4132aa9f914dd400,,query,risk_types_real_conflict,80a74b5fb8281db2be7b37b9f83468044345e6302a9a82f782a30ce7fbedebc7
h_2f1e548763c998c1,,query,query_states_real_conflict,56f1ca12a32b4a44662ece98d345c49c3240b3f5b6290fe6cc93b64229bac802
h_f5c59643f1640f52,,query,query_states_real_conflict,376947134e604190599207467c35eb3af5c74ef99fca97f92349e30b89c38500
h_1f1cf20eb58376e4,,query,query_states_real_conflict,60d732e296e82153049884328c699309319d4967555a5a711007a37fa93c8dff
h_1f1cf20eb58376e4,,query,risk_types_real_conflict,60d732e296e82153049884328c699309319d4967555a5a711007a37fa93c8dff
h_39a1d8f247841640,,query,query_states_real_conflict,35638d78196c277e2876b40d5327bbbef84acbc410c6dbd81910d4dd298d803a
h_39a1d8f247841640,,query,risk_types_real_conflict,35638d78196c277e2876b40d5327bbbef84acbc410c6dbd81910d4dd298d803a
h_7cd56a963461eba8,,query,query_states_real_conflict,41ef049610fe21556aba5af02185a62090c7027bec49a2488063bac58ed82357
h_7cd56a963461eba8,,query,risk_types_real_conflict,41ef049610fe21556aba5af02185a62090c7027bec49a2488063bac58ed82357
h_c3df367330fe9c64,,query,query_states_real_conflict,ab9e9715777de44d19b6f9f66d912a7137971c50b22d94dc3383e300bee687d6
h_c3df367330fe9c64,,query,risk_types_real_conflict,ab9e9715777de44d19b6f9f66d912a7137971c50b22d94dc3383e300bee687d6
h_1d84ae67852da347,,query,query_states_real_conflict,45b50c3f8cd4780ddcbb420f6920bab8ed61a4fa04cb1372e9b9f755ccb02307
h_1d84ae67852da347,,query,risk_types_real_conflict,45b50c3f8cd4780ddcbb420f6920bab8ed61a4fa04cb1372e9b9f755ccb02307
h_185b757724f24441,,query,query_states_real_conflict,6ace287c2642d2933f0712c94edfb1a3ddf055acfe9fd5d561872923875fd097
