case_id,clean_type,code_sha256,data_sha256,config_sha256,combined_sha256,status
c_522d5b59eb2841ea,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,a7535b1d067ba5d8621af82b7c7fb276299efed757d97dd3e1da25000ed02de7,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,3b510155a7c88e262a4c40b8b25f54f820a60f67343c9d2fdf54986609e85dab,REPRODUCED
c_58f1c9c284b14538,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,2d4429d7ad087228a9ac5a2df72a9e870bb55c273817c06fe2373bce30994dc4,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,1347c214040887f00789aa7af8d38c0941af51b579e4c6dc570a0bc714f83ea7,REPRODUCED
c_5afce37ee2774341,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,0e1971c25b5d07db0131cc85f6a60f40d97b4754ea051d8ed3069896dd042e89,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,cd904dc4ad5dd6383ef4a6227850fffe43da91402d5ce5bdaef2a3f138a863e5,REPRODUCED
c_6a131e0a66e44342,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,c3497a106e9b1ab19bcbceb192a2b8fd34f75014db0debee76ada6f9c546a55c,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,1fff41b5d53944fcbd4984e852eb90a41fd47e56fd0f1c0be85aac54f2006810,REPRODUCED
c_6a4d42c1df084d27,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,41b620fb6c59ec11ee168e8fabf30fd7211ab6da4c672dc2dadd8e02724e09c3,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,4dc214534a28c95c9a897a7d349bd25888a877f7a7663d959b680be383652a52,REPRODUCED
c_726f0e1e7cbd4663,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,86e36c1c3e6d7208aa7a37b38cd7515051d0d6244d3f8e015f1a263e367e6725,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,ca3851892fc8b45ba73f0b14bf9ccad7d5f1f0e88641a66baa4791ac2986f730,REPRODUCED
c_761c96f6dd1e4ec6,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,b3a585bebcea7a0f2f4f4afcc478778a05d4b43507f090d83f49f14c336d3fbb,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,53912ca60b4658d117cdb71e7e7f1f6d15b5e6d6befe6f0e8bedf3f3795f7b45,REPRODUCED
c_7661a4a4c8e543d3,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,660af4bb6bc17a64e7afdad2bbe567f99f93acf2638087205c0d3fdd02f384f6,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,3e5ea80c14112f5992a3ac44b75415e776b48b76233798254c2c1ffd305b07e4,REPRODUCED
c_76e97580221148b2,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,de5b0f60250d03078ddf9669613cef3e24efdccad565c8d2d92900278b84d57d,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,8b58566f58ed4ee0ee9ecbd65d63f7dbb73fe925a27f4b9124a1704e12986c27,REPRODUCED
c_77f1e43735db46b9,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,d7dd3f8f49f29024945423d9fbc939b5c6a868f4181605bf82eccf2f2cff3bbb,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,b9cfd477f9bc2614d32e023645cfa706fe18a2d9cde352f68b4a0b2b7d34f4cb,REPRODUCED
