scenario,leak_rate,seed,demand_cov
joint,0.5,27,0.8774
joint,0.5,28,0.8797
joint,0.5,29,0.8990
joint,0.5,30,0.8973
joint,0.5,31,0.8815
joint,0.5,32,0.8897
joint,0.5,33,0.8923
joint,0.5,34,0.8816
joint,0.5,35,0.8787
joint,0.5,36,0.8638
joint,0.5,37,0.8759
joint,0.5,38,0.8806
joint,0.5,39,0.8923
joint,0.5,40,0.8829
joint,0.5,41,0.8828
joint,0.5,42,0.8790
joint,0.5,43,0.8969
joint,0.5,44,0.8925
joint,0.5,45,0.8833
joint,0.5,46,0.8867
joint,0.5,47,0.8812
joint,0.5,48,0.8847
joint,0.5,49,0.8829
joint,0.75,0,0.9117
joint,0.75,1,0.9120
joint,0.75,2,0.8995
joint,0.75,3,0.9055
joint,0.75,4,0.9005
joint,0.75,5,0.9003
joint,0.75,6,0.8961
joint,0.75,7,0.9052
joint,0.75,8,0.9126
joint,0.75,9,0.9042
joint,0.75,10,0.9120
joint,0.75,11,0.9151
joint,0.75,12,0.9058
joint,0.75,13,0.9039
joint,0.75,14,0.9024
joint,0.75,15,0.9104
joint,0.75,16,0.9051
joint,0.75,17,0.8931
joint,0.75,18,0.8929
joint,0.75,19,0.8981
joint,0.75,20,0.9066
joint,0.75,21,0.9100
joint,0.75,22,0.9137
joint,0.75,23,0.9056
joint,0.75,24,0.9038
joint,0.75,25,0.9114
joint,0.75,26,0.9041
joint,0.75,27,0.9026
joint,0.75,28,0.9147
joint,0.75,29,0.9109
joint,0.75,30,0.8876
joint,0.75,31,0.8967
joint,0.75,32,0.9018
joint,0.75,33,0.9044
joint,0.75,34,0.9080
joint,0.75,35,0.9105
joint,0.75,36,0.9108
joint,0.75,37,0.8984
joint,0.75,38,0.9151
joint,0.75,39,0.9153
joint,0.75,40,0.9108
joint,0.75,41,0.8920
joint,0.75,42,0.8989
joint,0.75,43,0.9046
joint,0.75,44,0.9057
joint,0.75,45,0.9106
joint,0.75,46,0.9002
joint,0.75,47,0.9072
joint,0.75,48,0.9086
joint,0.75,49,0.9053
joint,1.0,0,0.9398
joint,1.0,1,0.9398
joint,1.0,2,0.9398
joint,1.0,3,0.9398
joint,1.0,4,0.9398
joint,1.0,5,0.9398
joint,1.0,6,0.9398
joint,1.0,7,0.9398
joint,1.0,8,0.9398
joint,1.0,9,0.9398
joint,1.0,10,0.9398
joint,1.0,11,0.9398
joint,1.0,12,0.9398
joint,1.0,13,0.9398
joint,1.0,14,0.9398
joint,1.0,15,0.9398
joint,1.0,16,0.9398
joint,1.0,17,0.9398
joint,1.0,18,0.9398
joint,1.0,19,0.9398
joint,1.0,20,0.9398
joint,1.0,21,0.9398
joint,1.0,22,0.9398
joint,1.0,23,0.9398
joint,1.0,24,0.9398
joint,1.0,25,0.9398
joint,1.0,26,0.9398
joint,1.0,27,0.9398
joint,1.0,28,0.9398
joint,1.0,29,0.9398
joint,1.0,30,0.9398
joint,1.0,31,0.9398
joint,1.0,32,0.9398
joint,1.0,33,0.9398
joint,1.0,34,0.9398
joint,1.0,35,0.9398
joint,1.0,36,0.9398
joint,1.0,37,0.9398
joint,1.0,38,0.9398
joint,1.0,39,0.9398
joint,1.0,40,0.9398
joint,1.0,41,0.9398
joint,1.0,42,0.9398
joint,1.0,43,0.9398
joint,1.0,44,0.9398
joint,1.0,45,0.9398
joint,1.0,46,0.9398
joint,1.0,47,0.9398
joint,1.0,48,0.9398
joint,1.0,49,0.9398
query_only,0.0,0,0.8745
query_only,0.0,1,0.8745
query_only,0.0,2,0.8745
query_only,0.0,3,0.8745
query_only,0.0,4,0.8745
query_only,0.0,5,0.8745
query_only,0.0,6,0.8745
query_only,0.0,7,0.8745
query_only,0.0,8,0.8745
query_only,0.0,9,0.8745
query_only,0.0,10,0.8745
query_only,0.0,11,0.8745
query_only,0.0,12,0.8745
query_only,0.0,13,0.8745
query_only,0.0,14,0.8745
query_only,0.0,15,0.8745
query_only,0.0,16,0.8745
query_only,0.0,17,0.8745
query_only,0.0,18,0.8745
query_only,0.0,19,0.8745
query_only,0.0,20,0.8745
query_only,0.0,21,0.8745
query_only,0.0,22,0.8745
query_only,0.0,23,0.8745
query_only,0.0,24,0.8745
query_only,0.0,25,0.8745
query_only,0.0,26,0.8745
query_only,0.0,27,0.8745
query_only,0.0,28,0.8745
query_only,0.0,29,0.8745
query_only,0.0,30,0.8745
query_only,0.0,31,0.8745
query_only,0.0,32,0.8745
query_only,0.0,33,0.8745
query_only,0.0,34,0.8745
query_only,0.0,35,0.8745
query_only,0.0,36,0.8745
query_only,0.0,37,0.8745
query_only,0.0,38,0.8745
query_only,0.0,39,0.8745
query_only,0.0,40,0.8745
query_only,0.0,41,0.8745
query_only,0.0,42,0.8745
query_only,0.0,43,0.8745
query_only,0.0,44,0.8745
query_only,0.0,45,0.8745
query_only,0.0,46,0.8745
query_only,0.0,47,0.8745
query_only,0.0,48,0.8745
query_only,0.0,49,0.8745
query_only,0.05,0,0.8745
query_only,0.05,1,0.8745
query_only,0.05,2,0.8728
query_only,0.05,3,0.8745
query_only,0.05,4,0.8745
query_only,0.05,5,0.8728
query_only,0.05,6,0.8745
query_only,0.05,7,0.8745
query_only,0.05,8,0.8745
query_only,0.05,9,0.8745
query_only,0.05,10,0.8718
query_only,0.05,11,0.8745
query_only,0.05,12,0.8745
query_only,0.05,13,0.8728
query_only,0.05,14,0.8745
query_only,0.05,15,0.8745
query_only,0.05,16,0.8745
query_only,0.05,17,0.8745
query_only,0.05,18,0.8745
query_only,0.05,19,0.8745
query_only,0.05,20,0.8728
query_only,0.05,21,0.8745
query_only,0.05,22,0.8745
query_only,0.05,23,0.8745
query_only,0.05,24,0.8745
query_only,0.05,25,0.8732
query_only,0.05,26,0.8745
query_only,0.05,27,0.8732
query_only,0.05,28,0.8757
query_only,0.05,29,0.8745
query_only,0.05,30,0.8745
query_only,0.05,31,0.8735
query_only,0.05,32,0.8745
query_only,0.05,33,0.8745
query_only,0.05,34,0.8745
query_only,0.05,35,0.8745
query_only,0.05,36,0.8745
query_only,0.05,37,0.8745
query_only,0.05,38,0.8745
query_only,0.05,39,0.8745
query_only,0.05,40,0.8745
query_only,0.05,41,0.8745
query_only,0.05,42,0.8745
query_only,0.05,43,0.8745
query_only,0.05,44,0.8745
query_only,0.05,45,0.8745
query_only,0.05,46,0.8745
query_only,0.05,47,0.8745
query_only,0.05,48,0.8745
query_only,0.05,49,0.8745
query_only,0.1,0,0.8745
query_only,0.1,1,0.8745
query_only,0.1,2,0.8745
query_only,0.1,3,0.8747
query_only,0.1,4,0.8757
query_only,0.1,5,0.8757
query_only,0.1,6,0.8722
query_only,0.1,7,0.8728
query_only,0.1,8,0.8745
query_only,0.1,9,0.8745
query_only,0.1,10,0.8745
query_only,0.1,11,0.8745
query_only,0.1,12,0.8745
query_only,0.1,13,0.8745
query_only,0.1,14,0.8732
query_only,0.1,15,0.8735
query_only,0.1,16,0.8757
query_only,0.1,17,0.8745
query_only,0.1,18,0.8735
query_only,0.1,19,0.8728
query_only,0.1,20,0.8745
query_only,0.1,21,0.8757
query_only,0.1,22,0.8745
query_only,0.1,23,0.8745
query_only,0.1,24,0.8728
query_only,0.1,25,0.8735
query_only,0.1,26,0.8732
query_only,0.1,27,0.8735
query_only,0.1,28,0.8728
query_only,0.1,29,0.8757
query_only,0.1,30,0.8745
query_only,0.1,31,0.8745
query_only,0.1,32,0.8745
query_only,0.1,33,0.8745
query_only,0.1,34,0.8745
query_only,0.1,35,0.8745
query_only,0.1,36,0.8735
query_only,0.1,37,0.8745
query_only,0.1,38,0.8741
query_only,0.1,39,0.8745
query_only,0.1,40,0.8745
query_only,0.1,41,0.8712
query_only,0.1,42,0.8735
query_only,0.1,43,0.8745
query_only,0.1,44,0.8745
query_only,0.1,45,0.8728
query_only,0.1,46,0.8712
query_only,0.1,47,0.8745
query_only,0.1,48,0.8745
query_only,0.1,49,0.8722
query_only,0.25,0,0.8732
query_only,0.25,1,0.8735
query_only,0.25,2,0.8706
query_only,0.25,3,0.8745
query_only,0.25,4,0.8745
query_only,0.25,5,0.8745
query_only,0.25,6,0.8757
query_only,0.25,7,0.8745
query_only,0.25,8,0.8732
query_only,0.25,9,0.8718
query_only,0.25,10,0.8728
query_only,0.25,11,0.8716
query_only,0.25,12,0.8732
query_only,0.25,13,0.8735
