scenario,leak_rate,seed,demand_cov
evidence_only,0.5,19,0.8809
evidence_only,0.5,20,0.8828
evidence_only,0.5,21,0.8853
evidence_only,0.5,22,0.8827
evidence_only,0.5,23,0.8746
evidence_only,0.5,24,0.8866
evidence_only,0.5,25,0.8752
evidence_only,0.5,26,0.8708
evidence_only,0.5,27,0.8757
evidence_only,0.5,28,0.8818
evidence_only,0.5,29,0.8725
evidence_only,0.5,30,0.8874
evidence_only,0.5,31,0.8674
evidence_only,0.5,32,0.8804
evidence_only,0.5,33,0.8726
evidence_only,0.5,34,0.8766
evidence_only,0.5,35,0.8743
evidence_only,0.5,36,0.8862
evidence_only,0.5,37,0.8769
evidence_only,0.5,38,0.8726
evidence_only,0.5,39,0.8777
evidence_only,0.5,40,0.8682
evidence_only,0.5,41,0.8886
evidence_only,0.5,42,0.8737
evidence_only,0.5,43,0.8739
evidence_only,0.5,44,0.8761
evidence_only,0.5,45,0.8693
evidence_only,0.5,46,0.8903
evidence_only,0.5,47,0.8823
evidence_only,0.5,48,0.8842
evidence_only,0.5,49,0.8784
evidence_only,0.75,0,0.8948
evidence_only,0.75,1,0.8851
evidence_only,0.75,2,0.8873
evidence_only,0.75,3,0.8867
evidence_only,0.75,4,0.8973
evidence_only,0.75,5,0.8807
evidence_only,0.75,6,0.8697
evidence_only,0.75,7,0.8916
evidence_only,0.75,8,0.8958
evidence_only,0.75,9,0.8774
evidence_only,0.75,10,0.8726
evidence_only,0.75,11,0.8956
evidence_only,0.75,12,0.8890
evidence_only,0.75,13,0.8854
evidence_only,0.75,14,0.8793
evidence_only,0.75,15,0.8941
evidence_only,0.75,16,0.8762
evidence_only,0.75,17,0.8751
evidence_only,0.75,18,0.8828
evidence_only,0.75,19,0.8914
evidence_only,0.75,20,0.8853
evidence_only,0.75,21,0.8924
evidence_only,0.75,22,0.8853
evidence_only,0.75,23,0.8927
evidence_only,0.75,24,0.8908
evidence_only,0.75,25,0.8911
evidence_only,0.75,26,0.8765
evidence_only,0.75,27,0.8880
evidence_only,0.75,28,0.8798
evidence_only,0.75,29,0.8918
evidence_only,0.75,30,0.8902
evidence_only,0.75,31,0.8883
evidence_only,0.75,32,0.8832
evidence_only,0.75,33,0.8886
evidence_only,0.75,34,0.8957
evidence_only,0.75,35,0.8815
evidence_only,0.75,36,0.8888
evidence_only,0.75,37,0.8863
evidence_only,0.75,38,0.9028
evidence_only,0.75,39,0.8918
evidence_only,0.75,40,0.8790
evidence_only,0.75,41,0.8977
evidence_only,0.75,42,0.8793
evidence_only,0.75,43,0.8964
evidence_only,0.75,44,0.8739
evidence_only,0.75,45,0.8996
evidence_only,0.75,46,0.8975
evidence_only,0.75,47,0.8919
evidence_only,0.75,48,0.8842
evidence_only,0.75,49,0.8708
evidence_only,1.0,0,0.9219
evidence_only,1.0,1,0.9219
evidence_only,1.0,2,0.9219
evidence_only,1.0,3,0.9219
evidence_only,1.0,4,0.9219
evidence_only,1.0,5,0.9219
evidence_only,1.0,6,0.9219
evidence_only,1.0,7,0.9219
evidence_only,1.0,8,0.9219
evidence_only,1.0,9,0.9219
evidence_only,1.0,10,0.9219
evidence_only,1.0,11,0.9219
evidence_only,1.0,12,0.9219
evidence_only,1.0,13,0.9219
evidence_only,1.0,14,0.9219
evidence_only,1.0,15,0.9219
evidence_only,1.0,16,0.9219
evidence_only,1.0,17,0.9219
evidence_only,1.0,18,0.9219
evidence_only,1.0,19,0.9219
evidence_only,1.0,20,0.9219
evidence_only,1.0,21,0.9219
evidence_only,1.0,22,0.9219
evidence_only,1.0,23,0.9219
evidence_only,1.0,24,0.9219
evidence_only,1.0,25,0.9219
evidence_only,1.0,26,0.9219
evidence_only,1.0,27,0.9219
evidence_only,1.0,28,0.9219
evidence_only,1.0,29,0.9219
evidence_only,1.0,30,0.9219
evidence_only,1.0,31,0.9219
evidence_only,1.0,32,0.9219
evidence_only,1.0,33,0.9219
evidence_only,1.0,34,0.9219
evidence_only,1.0,35,0.9219
evidence_only,1.0,36,0.9219
evidence_only,1.0,37,0.9219
evidence_only,1.0,38,0.9219
evidence_only,1.0,39,0.9219
evidence_only,1.0,40,0.9219
evidence_only,1.0,41,0.9219
evidence_only,1.0,42,0.9219
evidence_only,1.0,43,0.9219
evidence_only,1.0,44,0.9219
evidence_only,1.0,45,0.9219
evidence_only,1.0,46,0.9219
evidence_only,1.0,47,0.9219
evidence_only,1.0,48,0.9219
evidence_only,1.0,49,0.9219
