comparison,mean_diff,p_value,ci95_low,ci95_high
bert_e2_vs_tfidf_e2_macro_f1,0.130,0.003,0.045,0.215
bert_e2_vs_tfidf_e2_accuracy,0.021,0.042,0.001,0.041
