split,method,k,category,denominator_qid,coverage_rate
formal_train,MMR,5,D02_cause_diagnosis,95,0.94736842
formal_train,MMR,5,D03_treatment_medication,117,0.95726496
formal_train,MMR,5,D04_population_history,81,0.66666667
formal_train,MMR,5,D05_care_emergency,76,0.67105263
formal_train,MMR,5,D06_mental_safety,10,0.80000000
formal_train,MMR,7,D01_symptom_course,191,0.97382199
formal_train,MMR,7,D02_cause_diagnosis,95,0.98947368
formal_train,MMR,7,D03_treatment_medication,117,0.98290598
formal_train,MMR,7,D04_population_history,81,0.71604938
formal_train,MMR,7,D05_care_emergency,76,0.76315789
formal_train,MMR,7,D06_mental_safety,10,0.90000000
internal_blind,B0,3,D01_symptom_course,153,0.91503268
internal_blind,B0,3,D02_cause_diagnosis,84,0.86904762
internal_blind,B0,3,D03_treatment_medication,90,0.96666667
internal_blind,B0,3,D04_population_history,80,0.73750000
internal_blind,B0,3,D05_care_emergency,49,0.57142857
internal_blind,B0,3,D06_mental_safety,1,1.00000000
internal_blind,B0,5,D01_symptom_course,153,0.95424837
internal_blind,B0,5,D02_cause_diagnosis,84,0.95238095
internal_blind,B0,5,D03_treatment_medication,90,0.98888889
internal_blind,B0,5,D04_population_history,80,0.78750000
internal_blind,B0,5,D05_care_emergency,49,0.71428571
internal_blind,B0,5,D06_mental_safety,1,1.00000000
internal_blind,B0,7,D01_symptom_course,153,0.96078431
internal_blind,B0,7,D02_cause_diagnosis,84,0.96428571
internal_blind,B0,7,D03_treatment_medication,90,0.98888889
internal_blind,B0,7,D04_population_history,80,0.82500000
internal_blind,B0,7,D05_care_emergency,49,0.79591837
internal_blind,B0,7,D06_mental_safety,1,1.00000000
internal_blind,D0,3,D01_symptom_course,153,0.98692810
internal_blind,D0,3,D02_cause_diagnosis,84,1.00000000
internal_blind,D0,3,D03_treatment_medication,90,1.00000000
internal_blind,D0,3,D04_population_history,80,0.93750000
internal_blind,D0,3,D05_care_emergency,49,0.87755102
internal_blind,D0,3,D06_mental_safety,1,1.00000000
internal_blind,D0,5,D01_symptom_course,153,0.99346405
internal_blind,D0,5,D02_cause_diagnosis,84,1.00000000
internal_blind,D0,5,D03_treatment_medication,90,1.00000000
internal_blind,D0,5,D04_population_history,80,0.93750000
internal_blind,D0,5,D05_care_emergency,49,0.87755102
internal_blind,D0,5,D06_mental_safety,1,1.00000000
internal_blind,D0,7,D01_symptom_course,153,0.99346405
internal_blind,D0,7,D02_cause_diagnosis,84,1.00000000
internal_blind,D0,7,D03_treatment_medication,90,1.00000000
internal_blind,D0,7,D04_population_history,80,0.95000000
internal_blind,D0,7,D05_care_emergency,49,0.87755102
internal_blind,D0,7,D06_mental_safety,1,1.00000000
internal_blind,D1,3,D01_symptom_course,153,0.99346405
internal_blind,D1,3,D02_cause_diagnosis,84,0.95238095
internal_blind,D1,3,D03_treatment_medication,90,0.97777778
internal_blind,D1,3,D04_population_history,80,0.80000000
internal_blind,D1,3,D05_care_emergency,49,0.73469388
internal_blind,D1,3,D06_mental_safety,1,1.00000000
internal_blind,D1,5,D01_symptom_course,153,0.99346405
internal_blind,D1,5,D02_cause_diagnosis,84,0.97619048
internal_blind,D1,5,D03_treatment_medication,90,0.98888889
internal_blind,D1,5,D04_population_history,80,0.83750000
internal_blind,D1,5,D05_care_emergency,49,0.81632653
internal_blind,D1,5,D06_mental_safety,1,1.00000000
internal_blind,D1,7,D01_symptom_course,153,0.99346405
internal_blind,D1,7,D02_cause_diagnosis,84,0.98809524
internal_blind,D1,7,D03_treatment_medication,90,0.98888889
internal_blind,D1,7,D04_population_history,80,0.88750000
internal_blind,D1,7,D05_care_emergency,49,0.85714286
internal_blind,D1,7,D06_mental_safety,1,1.00000000
internal_blind,D2,3,D01_symptom_course,153,0.90196078
internal_blind,D2,3,D02_cause_diagnosis,84,0.89285714
internal_blind,D2,3,D03_treatment_medication,90,0.94444444
internal_blind,D2,3,D04_population_history,80,0.77500000
internal_blind,D2,3,D05_care_emergency,49,0.63265306
internal_blind,D2,3,D06_mental_safety,1,1.00000000
internal_blind,D2,5,D01_symptom_course,153,0.94771242
internal_blind,D2,5,D02_cause_diagnosis,84,0.97619048
internal_blind,D2,5,D03_treatment_medication,90,0.98888889
internal_blind,D2,5,D04_population_history,80,0.82500000
internal_blind,D2,5,D05_care_emergency,49,0.75510204
internal_blind,D2,5,D06_mental_safety,1,1.00000000
internal_blind,D2,7,D01_symptom_course,153,0.96078431
internal_blind,D2,7,D02_cause_diagnosis,84,0.97619048
internal_blind,D2,7,D03_treatment_medication,90,0.98888889
internal_blind,D2,7,D04_population_history,80,0.85000000
