scenario,leak_rate,seed,demand_cov,ndcg_10
joint,0.25,22,0.8832,0.6205
joint,0.25,23,0.8733,0.6218
joint,0.25,24,0.8799,0.6225
joint,0.25,25,0.8753,0.6229
joint,0.25,26,0.8797,0.6197
joint,0.25,27,0.8782,0.6271
joint,0.25,28,0.8731,0.6230
joint,0.25,29,0.8704,0.6194
joint,0.25,30,0.8625,0.6214
joint,0.25,31,0.8774,0.6234
joint,0.25,32,0.8788,0.6221
joint,0.25,33,0.8770,0.6206
joint,0.25,34,0.8780,0.6224
joint,0.25,35,0.8724,0.6233
joint,0.25,36,0.8750,0.6177
joint,0.25,37,0.8831,0.6209
joint,0.25,38,0.8877,0.6241
joint,0.25,39,0.8728,0.6161
joint,0.25,40,0.8786,0.6142
joint,0.25,41,0.8857,0.6211
joint,0.25,42,0.8639,0.6195
joint,0.25,43,0.8745,0.6205
joint,0.25,44,0.8796,0.6208
joint,0.25,45,0.8695,0.6198
joint,0.25,46,0.8751,0.6208
joint,0.25,47,0.8718,0.6152
joint,0.25,48,0.8830,0.6236
joint,0.25,49,0.8728,0.6185
joint,0.5,0,0.8780,0.6107
joint,0.5,1,0.8855,0.6146
joint,0.5,2,0.8898,0.6109
joint,0.5,3,0.8802,0.6118
joint,0.5,4,0.8737,0.6066
joint,0.5,5,0.8957,0.6113
joint,0.5,6,0.8938,0.6162
joint,0.5,7,0.8637,0.6035
joint,0.5,8,0.8771,0.6113
joint,0.5,9,0.8835,0.6075
joint,0.5,10,0.8872,0.6107
joint,0.5,11,0.8906,0.6063
joint,0.5,12,0.8872,0.6052
joint,0.5,13,0.8859,0.6084
joint,0.5,14,0.8882,0.6138
joint,0.5,15,0.8869,0.6075
joint,0.5,16,0.8778,0.6089
joint,0.5,17,0.8865,0.6145
joint,0.5,18,0.8771,0.6038
joint,0.5,19,0.8890,0.6073
joint,0.5,20,0.8897,0.6150
joint,0.5,21,0.8877,0.6074
joint,0.5,22,0.8882,0.6142
joint,0.5,23,0.8894,0.6119
joint,0.5,24,0.8821,0.6038
joint,0.5,25,0.8921,0.6093
joint,0.5,26,0.8894,0.6083
joint,0.5,27,0.8774,0.5988
joint,0.5,28,0.8797,0.6077
joint,0.5,29,0.8990,0.6118
joint,0.5,30,0.8973,0.6228
joint,0.5,31,0.8815,0.6116
joint,0.5,32,0.8897,0.6052
joint,0.5,33,0.8923,0.6123
joint,0.5,34,0.8816,0.6096
joint,0.5,35,0.8787,0.6095
joint,0.5,36,0.8638,0.6046
joint,0.5,37,0.8759,0.6105
joint,0.5,38,0.8806,0.6041
joint,0.5,39,0.8923,0.6050
joint,0.5,40,0.8829,0.6122
joint,0.5,41,0.8828,0.6101
joint,0.5,42,0.8790,0.6143
joint,0.5,43,0.8969,0.6119
joint,0.5,44,0.8925,0.6144
joint,0.5,45,0.8833,0.6047
joint,0.5,46,0.8867,0.6067
joint,0.5,47,0.8812,0.6167
joint,0.5,48,0.8847,0.6111
joint,0.5,49,0.8829,0.6132
joint,0.75,0,0.9117,0.5977
joint,0.75,1,0.9120,0.6058
joint,0.75,2,0.8995,0.6031
joint,0.75,3,0.9055,0.6036
joint,0.75,4,0.9005,0.5951
joint,0.75,5,0.9003,0.6027
joint,0.75,6,0.8961,0.5944
joint,0.75,7,0.9052,0.6037
joint,0.75,8,0.9126,0.6005
joint,0.75,9,0.9042,0.5991
joint,0.75,10,0.9120,0.6066
joint,0.75,11,0.9151,0.6010
joint,0.75,12,0.9058,0.5985
joint,0.75,13,0.9039,0.6033
joint,0.75,14,0.9024,0.6043
joint,0.75,15,0.9104,0.6063
joint,0.75,16,0.9051,0.6067
joint,0.75,17,0.8931,0.5981
joint,0.75,18,0.8929,0.5974
joint,0.75,19,0.8981,0.6010
joint,0.75,20,0.9066,0.6003
joint,0.75,21,0.9100,0.6084
joint,0.75,22,0.9137,0.5994
joint,0.75,23,0.9056,0.6037
joint,0.75,24,0.9038,0.6004
joint,0.75,25,0.9114,0.6051
joint,0.75,26,0.9041,0.6020
joint,0.75,27,0.9026,0.5976
joint,0.75,28,0.9147,0.6064
joint,0.75,29,0.9109,0.6080
joint,0.75,30,0.8876,0.5906
joint,0.75,31,0.8967,0.5940
joint,0.75,32,0.9018,0.5956
joint,0.75,33,0.9044,0.6042
joint,0.75,34,0.9080,0.6035
joint,0.75,35,0.9105,0.6053
joint,0.75,36,0.9108,0.6012
joint,0.75,37,0.8984,0.5960
joint,0.75,38,0.9151,0.6026
joint,0.75,39,0.9153,0.6053
joint,0.75,40,0.9108,0.5978
joint,0.75,41,0.8920,0.5986
joint,0.75,42,0.8989,0.5994
joint,0.75,43,0.9046,0.5955
joint,0.75,44,0.9057,0.6033
joint,0.75,45,0.9106,0.6023
joint,0.75,46,0.9002,0.5942
joint,0.75,47,0.9072,0.6039
joint,0.75,48,0.9086,0.6038
joint,0.75,49,0.9053,0.6027
joint,1,0,0.9398,0.6012
joint,1,1,0.9398,0.6012
joint,1,2,0.9398,0.6012
joint,1,3,0.9398,0.6012
joint,1,4,0.9398,0.6012
joint,1,5,0.9398,0.6012
joint,1,6,0.9398,0.6012
joint,1,7,0.9398,0.6012
joint,1,8,0.9398,0.6012
joint,1,9,0.9398,0.6012
joint,1,10,0.9398,0.6012
joint,1,11,0.9398,0.6012
joint,1,12,0.9398,0.6012
joint,1,13,0.9398,0.6012
joint,1,14,0.9398,0.6012
joint,1,15,0.9398,0.6012
joint,1,16,0.9398,0.6012
joint,1,17,0.9398,0.6012
joint,1,18,0.9398,0.6012
joint,1,19,0.9398,0.6012
joint,1,20,0.9398,0.6012
joint,1,21,0.9398,0.6012
joint,1,22,0.9398,0.6012
joint,1,23,0.9398,0.6012
joint,1,24,0.9398,0.6012
joint,1,25,0.9398,0.6012
joint,1,26,0.9398,0.6012
joint,1,27,0.9398,0.6012
joint,1,28,0.9398,0.6012
joint,1,29,0.9398,0.6012
joint,1,30,0.9398,0.6012
joint,1,31,0.9398,0.6012
joint,1,32,0.9398,0.6012
joint,1,33,0.9398,0.6012
joint,1,34,0.9398,0.6012
joint,1,35,0.9398,0.6012
joint,1,36,0.9398,0.6012
joint,1,37,0.9398,0.6012
joint,1,38,0.9398,0.6012
joint,1,39,0.9398,0.6012
joint,1,40,0.9398,0.6012
joint,1,41,0.9398,0.6012
joint,1,42,0.9398,0.6012
joint,1,43,0.9398,0.6012
joint,1,44,0.9398,0.6012
joint,1,45,0.9398,0.6012
joint,1,46,0.9398,0.6012
joint,1,47,0.9398,0.6012
joint,1,48,0.9398,0.6012
joint,1,49,0.9398,0.6012
query_only,0,0,0.8745,0.6293
query_only,0,1,0.8745,0.6293
query_only,0,2,0.8745,0.6293
query_only,0,3,0.8745,0.6293
query_only,0,4,0.8745,0.6293
query_only,0,5,0.8745,0.6293
query_only,0,6,0.8745,0.6293
query_only,0,7,0.8745,0.6293
query_only,0,8,0.8745,0.6293
query_only,0,9,0.8745,0.6293
query_only,0,10,0.8745,0.6293
query_only,0,11,0.8745,0.6293
query_only,0,12,0.8745,0.6293
query_only,0,13,0.8745,0.6293
query_only,0,14,0.8745,0.6293
query_only,0,15,0.8745,0.6293
query_only,0,16,0.8745,0.6293
query_only,0,17,0.8745,0.6293
query_only,0,18,0.8745,0.6293
query_only,0,19,0.8745,0.6293
query_only,0,20,0.8745,0.6293
query_only,0,21,0.8745,0.6293
query_only,0,22,0.8745,0.6293
query_only,0,23,0.8745,0.6293
query_only,0,24,0.8745,0.6293
query_only,0,25,0.8745,0.6293
query_only,0,26,0.8745,0.6293
query_only,0,27,0.8745,0.6293
query_only,0,28,0.8745,0.6293
query_only,0,29,0.8745,0.6293
query_only,0,30,0.8745,0.6293
query_only,0,31,0.8745,0.6293
query_only,0,32,0.8745,0.6293
query_only,0,33,0.8745,0.6293
query_only,0,34,0.8745,0.6293
query_only,0,35,0.8745,0.6293
query_only,0,36,0.8745,0.6293
query_only,0,37,0.8745,0.6293
query_only,0,38,0.8745,0.6293
query_only,0,39,0.8745,0.6293
query_only,0,40,0.8745,0.6293
query_only,0,41,0.8745,0.6293
query_only,0,42,0.8745,0.6293
query_only,0,43,0.8745,0.6293
query_only,0,44,0.8745,0.6293
query_only,0,45,0.8745,0.6293
query_only,0,46,0.8745,0.6293
query_only,0,47,0.8745,0.6293
query_only,0,48,0.8745,0.6293
query_only,0,49,0.8745,0.6293
query_only,0.05,0,0.8745,0.6293
query_only,0.05,1,0.8745,0.6291
query_only,0.05,2,0.8728,0.6288
query_only,0.05,3,0.8745,0.6293
query_only,0.05,4,0.8745,0.6294
query_only,0.05,5,0.8728,0.6292
query_only,0.05,6,0.8745,0.6290
query_only,0.05,7,0.8745,0.6293
query_only,0.05,8,0.8745,0.6293
query_only,0.05,9,0.8745,0.6285
query_only,0.05,10,0.8718,0.6279
query_only,0.05,11,0.8745,0.6309
query_only,0.05,12,0.8745,0.6312
query_only,0.05,13,0.8728,0.6287
query_only,0.05,14,0.8745,0.6293
query_only,0.05,15,0.8745,0.6293
query_only,0.05,16,0.8745,0.6285
query_only,0.05,17,0.8745,0.6302
query_only,0.05,18,0.8745,0.6293
query_only,0.05,19,0.8745,0.6293
query_only,0.05,20,0.8728,0.6279
query_only,0.05,21,0.8745,0.6293
query_only,0.05,22,0.8745,0.6292
query_only,0.05,23,0.8745,0.6293
query_only,0.05,24,0.8745,0.6306
query_only,0.05,25,0.8732,0.6293
query_only,0.05,26,0.8745,0.6293
query_only,0.05,27,0.8732,0.6293
query_only,0.05,28,0.8757,0.6285
query_only,0.05,29,0.8745,0.6309
query_only,0.05,30,0.8745,0.6300
query_only,0.05,31,0.8735,0.6279
query_only,0.05,32,0.8745,0.6294
query_only,0.05,33,0.8745,0.6294
query_only,0.05,34,0.8745,0.6293
query_only,0.05,35,0.8745,0.6285
query_only,0.05,36,0.8745,0.6300
query_only,0.05,37,0.8745,0.6293
query_only,0.05,38,0.8745,0.6302
query_only,0.05,39,0.8745,0.6304
query_only,0.05,40,0.8745,0.6300
query_only,0.05,41,0.8745,0.6302
query_only,0.05,42,0.8745,0.6293
query_only,0.05,43,0.8745,0.6293
query_only,0.05,44,0.8745,0.6301
query_only,0.05,45,0.8745,0.6293
query_only,0.05,46,0.8745,0.6300
query_only,0.05,47,0.8745,0.6305
query_only,0.05,48,0.8745,0.6291
query_only,0.05,49,0.8745,0.6285
query_only,0.1,0,0.8745,0.6293
query_only,0.1,1,0.8745,0.6289
query_only,0.1,2,0.8745,0.6274
query_only,0.1,3,0.8747,0.6294
query_only,0.1,4,0.8757,0.6285
query_only,0.1,5,0.8757,0.6290
query_only,0.1,6,0.8722,0.6291
query_only,0.1,7,0.8728,0.6286
query_only,0.1,8,0.8745,0.6298
query_only,0.1,9,0.8745,0.6300
query_only,0.1,10,0.8745,0.6273
query_only,0.1,11,0.8745,0.6292
query_only,0.1,12,0.8745,0.6302
query_only,0.1,13,0.8745,0.6319
query_only,0.1,14,0.8732,0.6291
query_only,0.1,15,0.8735,0.6318
query_only,0.1,16,0.8757,0.6297
query_only,0.1,17,0.8745,0.6288
query_only,0.1,18,0.8735,0.6310
