scenario,leak_rate,seed,demand_cov,ndcg_10
evidence_only,0,18,0.8745,0.6293
evidence_only,0,19,0.8745,0.6293
evidence_only,0,20,0.8745,0.6293
evidence_only,0,21,0.8745,0.6293
evidence_only,0,22,0.8745,0.6293
evidence_only,0,23,0.8745,0.6293
evidence_only,0,24,0.8745,0.6293
evidence_only,0,25,0.8745,0.6293
evidence_only,0,26,0.8745,0.6293
evidence_only,0,27,0.8745,0.6293
evidence_only,0,28,0.8745,0.6293
evidence_only,0,29,0.8745,0.6293
evidence_only,0,30,0.8745,0.6293
evidence_only,0,31,0.8745,0.6293
evidence_only,0,32,0.8745,0.6293
evidence_only,0,33,0.8745,0.6293
evidence_only,0,34,0.8745,0.6293
evidence_only,0,35,0.8745,0.6293
evidence_only,0,36,0.8745,0.6293
evidence_only,0,37,0.8745,0.6293
evidence_only,0,38,0.8745,0.6293
evidence_only,0,39,0.8745,0.6293
evidence_only,0,40,0.8745,0.6293
evidence_only,0,41,0.8745,0.6293
evidence_only,0,42,0.8745,0.6293
evidence_only,0,43,0.8745,0.6293
evidence_only,0,44,0.8745,0.6293
evidence_only,0,45,0.8745,0.6293
evidence_only,0,46,0.8745,0.6293
evidence_only,0,47,0.8745,0.6293
evidence_only,0,48,0.8745,0.6293
evidence_only,0,49,0.8745,0.6293
evidence_only,0.05,0,0.8707,0.6275
evidence_only,0.05,1,0.8741,0.6298
evidence_only,0.05,2,0.8657,0.6274
evidence_only,0.05,3,0.8732,0.6288
evidence_only,0.05,4,0.8807,0.6293
evidence_only,0.05,5,0.8737,0.6278
evidence_only,0.05,6,0.8799,0.6314
evidence_only,0.05,7,0.8774,0.6303
evidence_only,0.05,8,0.8758,0.6281
evidence_only,0.05,9,0.8682,0.6249
evidence_only,0.05,10,0.8628,0.6276
evidence_only,0.05,11,0.8757,0.6278
evidence_only,0.05,12,0.8770,0.6308
evidence_only,0.05,13,0.8695,0.6277
evidence_only,0.05,14,0.8787,0.6265
evidence_only,0.05,15,0.8765,0.6311
evidence_only,0.05,16,0.8745,0.6306
evidence_only,0.05,17,0.8753,0.6284
evidence_only,0.05,18,0.8720,0.6293
evidence_only,0.05,19,0.8730,0.6272
evidence_only,0.05,20,0.8807,0.6301
evidence_only,0.05,21,0.8732,0.6286
evidence_only,0.05,22,0.8718,0.6293
evidence_only,0.05,23,0.8703,0.6299
evidence_only,0.05,24,0.8705,0.6264
evidence_only,0.05,25,0.8741,0.6267
evidence_only,0.05,26,0.8733,0.6266
evidence_only,0.05,27,0.8770,0.6276
evidence_only,0.05,28,0.8765,0.6279
evidence_only,0.05,29,0.8702,0.6279
evidence_only,0.05,30,0.8720,0.6258
evidence_only,0.05,31,0.8759,0.6279
evidence_only,0.05,32,0.8707,0.6273
evidence_only,0.05,33,0.8787,0.6292
evidence_only,0.05,34,0.8745,0.6280
evidence_only,0.05,35,0.8728,0.6288
evidence_only,0.05,36,0.8782,0.6263
evidence_only,0.05,37,0.8780,0.6313
evidence_only,0.05,38,0.8772,0.6310
evidence_only,0.05,39,0.8774,0.6296
evidence_only,0.05,40,0.8802,0.6268
evidence_only,0.05,41,0.8678,0.6304
evidence_only,0.05,42,0.8777,0.6278
evidence_only,0.05,43,0.8691,0.6269
evidence_only,0.05,44,0.8732,0.6296
evidence_only,0.05,45,0.8757,0.6265
evidence_only,0.05,46,0.8720,0.6287
evidence_only,0.05,47,0.8714,0.6273
evidence_only,0.05,48,0.8724,0.6262
evidence_only,0.05,49,0.8711,0.6256
evidence_only,0.1,0,0.8691,0.6286
evidence_only,0.1,1,0.8766,0.6235
evidence_only,0.1,2,0.8780,0.6240
evidence_only,0.1,3,0.8660,0.6262
evidence_only,0.1,4,0.8762,0.6275
evidence_only,0.1,5,0.8660,0.6275
evidence_only,0.1,6,0.8839,0.6269
evidence_only,0.1,7,0.8732,0.6279
evidence_only,0.1,8,0.8702,0.6251
evidence_only,0.1,9,0.8742,0.6254
evidence_only,0.1,10,0.8749,0.6265
evidence_only,0.1,11,0.8735,0.6251
evidence_only,0.1,12,0.8702,0.6226
evidence_only,0.1,13,0.8723,0.6244
evidence_only,0.1,14,0.8828,0.6310
evidence_only,0.1,15,0.8666,0.6215
evidence_only,0.1,16,0.8759,0.6287
evidence_only,0.1,17,0.8823,0.6283
evidence_only,0.1,18,0.8705,0.6239
evidence_only,0.1,19,0.8803,0.6245
evidence_only,0.1,20,0.8692,0.6249
evidence_only,0.1,21,0.8803,0.6319
evidence_only,0.1,22,0.8670,0.6254
evidence_only,0.1,23,0.8718,0.6271
evidence_only,0.1,24,0.8712,0.6283
evidence_only,0.1,25,0.8730,0.6306
evidence_only,0.1,26,0.8778,0.6265
evidence_only,0.1,27,0.8736,0.6258
evidence_only,0.1,28,0.8712,0.6251
evidence_only,0.1,29,0.8752,0.6262
evidence_only,0.1,30,0.8755,0.6285
evidence_only,0.1,31,0.8745,0.6264
evidence_only,0.1,32,0.8682,0.6223
evidence_only,0.1,33,0.8804,0.6283
evidence_only,0.1,34,0.8742,0.6296
evidence_only,0.1,35,0.8780,0.6270
evidence_only,0.1,36,0.8786,0.6261
evidence_only,0.1,37,0.8814,0.6275
evidence_only,0.1,38,0.8716,0.6269
evidence_only,0.1,39,0.8747,0.6287
evidence_only,0.1,40,0.8682,0.6298
evidence_only,0.1,41,0.8757,0.6269
evidence_only,0.1,42,0.8741,0.6248
evidence_only,0.1,43,0.8682,0.6260
evidence_only,0.1,44,0.8767,0.6294
evidence_only,0.1,45,0.8784,0.6244
evidence_only,0.1,46,0.8666,0.6251
evidence_only,0.1,47,0.8657,0.6217
evidence_only,0.1,48,0.8764,0.6280
evidence_only,0.1,49,0.8753,0.6318
evidence_only,0.25,0,0.8747,0.6255
evidence_only,0.25,1,0.8772,0.6213
evidence_only,0.25,2,0.8681,0.6216
evidence_only,0.25,3,0.8866,0.6275
evidence_only,0.25,4,0.8668,0.6202
evidence_only,0.25,5,0.8759,0.6234
evidence_only,0.25,6,0.8787,0.6255
evidence_only,0.25,7,0.8722,0.6177
evidence_only,0.25,8,0.8851,0.6196
evidence_only,0.25,9,0.8776,0.6202
evidence_only,0.25,10,0.8640,0.6219
evidence_only,0.25,11,0.8793,0.6177
evidence_only,0.25,12,0.8732,0.6169
evidence_only,0.25,13,0.8808,0.6179
evidence_only,0.25,14,0.8777,0.6230
evidence_only,0.25,15,0.8763,0.6218
evidence_only,0.25,16,0.8772,0.6213
evidence_only,0.25,17,0.8712,0.6204
evidence_only,0.25,18,0.8712,0.6163
evidence_only,0.25,19,0.8774,0.6243
evidence_only,0.25,20,0.8742,0.6177
evidence_only,0.25,21,0.8715,0.6175
evidence_only,0.25,22,0.8871,0.6233
evidence_only,0.25,23,0.8792,0.6184
evidence_only,0.25,24,0.8768,0.6270
evidence_only,0.25,25,0.8683,0.6155
evidence_only,0.25,26,0.8666,0.6186
evidence_only,0.25,27,0.8824,0.6209
evidence_only,0.25,28,0.8744,0.6195
evidence_only,0.25,29,0.8784,0.6289
evidence_only,0.25,30,0.8727,0.6134
evidence_only,0.25,31,0.8792,0.6185
evidence_only,0.25,32,0.8808,0.6202
evidence_only,0.25,33,0.8710,0.6206
evidence_only,0.25,34,0.8791,0.6134
evidence_only,0.25,35,0.8733,0.6173
evidence_only,0.25,36,0.8771,0.6209
evidence_only,0.25,37,0.8697,0.6237
evidence_only,0.25,38,0.8762,0.6192
evidence_only,0.25,39,0.8707,0.6141
evidence_only,0.25,40,0.8759,0.6193
evidence_only,0.25,41,0.8824,0.6237
evidence_only,0.25,42,0.8768,0.6180
evidence_only,0.25,43,0.8718,0.6176
evidence_only,0.25,44,0.8785,0.6271
evidence_only,0.25,45,0.8825,0.6212
evidence_only,0.25,46,0.8703,0.6171
evidence_only,0.25,47,0.8780,0.6220
evidence_only,0.25,48,0.8772,0.6220
evidence_only,0.25,49,0.8747,0.6196
evidence_only,0.5,0,0.8757,0.6102
evidence_only,0.5,1,0.8819,0.6077
evidence_only,0.5,2,0.8828,0.6090
evidence_only,0.5,3,0.8810,0.6059
evidence_only,0.5,4,0.8638,0.6105
evidence_only,0.5,5,0.8698,0.6057
evidence_only,0.5,6,0.8759,0.6103
evidence_only,0.5,7,0.8878,0.6205
evidence_only,0.5,8,0.8826,0.6127
evidence_only,0.5,9,0.8624,0.6069
evidence_only,0.5,10,0.8794,0.6135
evidence_only,0.5,11,0.8978,0.6094
evidence_only,0.5,12,0.8659,0.6032
evidence_only,0.5,13,0.8894,0.6108
evidence_only,0.5,14,0.8642,0.6087
evidence_only,0.5,15,0.8810,0.6085
evidence_only,0.5,16,0.8791,0.6047
evidence_only,0.5,17,0.8778,0.6087
evidence_only,0.5,18,0.8872,0.6073
evidence_only,0.5,19,0.8809,0.6143
evidence_only,0.5,20,0.8828,0.6071
evidence_only,0.5,21,0.8853,0.6099
evidence_only,0.5,22,0.8827,0.6090
evidence_only,0.5,23,0.8746,0.6075
evidence_only,0.5,24,0.8866,0.6093
evidence_only,0.5,25,0.8752,0.6024
evidence_only,0.5,26,0.8708,0.6073
evidence_only,0.5,27,0.8757,0.6079
evidence_only,0.5,28,0.8818,0.6062
evidence_only,0.5,29,0.8725,0.6117
evidence_only,0.5,30,0.8874,0.6186
evidence_only,0.5,31,0.8674,0.6108
evidence_only,0.5,32,0.8804,0.6078
evidence_only,0.5,33,0.8726,0.6100
evidence_only,0.5,34,0.8766,0.6120
evidence_only,0.5,35,0.8743,0.6148
evidence_only,0.5,36,0.8862,0.6168
evidence_only,0.5,37,0.8769,0.6115
evidence_only,0.5,38,0.8726,0.6048
evidence_only,0.5,39,0.8777,0.6044
evidence_only,0.5,40,0.8682,0.6048
evidence_only,0.5,41,0.8886,0.6153
evidence_only,0.5,42,0.8737,0.6112
evidence_only,0.5,43,0.8739,0.6104
evidence_only,0.5,44,0.8761,0.6068
evidence_only,0.5,45,0.8693,0.5993
evidence_only,0.5,46,0.8903,0.6060
evidence_only,0.5,47,0.8823,0.6063
evidence_only,0.5,48,0.8842,0.6107
evidence_only,0.5,49,0.8784,0.6137
evidence_only,0.75,0,0.8948,0.6107
evidence_only,0.75,1,0.8851,0.5989
evidence_only,0.75,2,0.8873,0.6004
evidence_only,0.75,3,0.8867,0.6087
evidence_only,0.75,4,0.8973,0.6047
evidence_only,0.75,5,0.8807,0.5976
evidence_only,0.75,6,0.8697,0.5915
evidence_only,0.75,7,0.8916,0.6028
evidence_only,0.75,8,0.8958,0.6026
evidence_only,0.75,9,0.8774,0.6010
evidence_only,0.75,10,0.8726,0.6028
evidence_only,0.75,11,0.8956,0.6033
evidence_only,0.75,12,0.8890,0.6023
evidence_only,0.75,13,0.8854,0.6029
evidence_only,0.75,14,0.8793,0.5975
evidence_only,0.75,15,0.8941,0.6013
evidence_only,0.75,16,0.8762,0.6025
evidence_only,0.75,17,0.8751,0.5971
evidence_only,0.75,18,0.8828,0.6070
evidence_only,0.75,19,0.8914,0.5993
evidence_only,0.75,20,0.8853,0.6033
evidence_only,0.75,21,0.8924,0.6022
evidence_only,0.75,22,0.8853,0.5943
evidence_only,0.75,23,0.8927,0.6096
evidence_only,0.75,24,0.8908,0.6006
evidence_only,0.75,25,0.8911,0.5977
evidence_only,0.75,26,0.8765,0.6013
evidence_only,0.75,27,0.8880,0.5981
evidence_only,0.75,28,0.8798,0.5985
evidence_only,0.75,29,0.8918,0.6093
evidence_only,0.75,30,0.8902,0.6079
evidence_only,0.75,31,0.8883,0.5968
evidence_only,0.75,32,0.8832,0.5952
evidence_only,0.75,33,0.8886,0.6049
evidence_only,0.75,34,0.8957,0.6026
evidence_only,0.75,35,0.8815,0.6004
evidence_only,0.75,36,0.8888,0.6034
evidence_only,0.75,37,0.8863,0.5999
evidence_only,0.75,38,0.9028,0.6132
evidence_only,0.75,39,0.8918,0.6045
evidence_only,0.75,40,0.8790,0.5978
evidence_only,0.75,41,0.8977,0.6054
evidence_only,0.75,42,0.8793,0.5989
evidence_only,0.75,43,0.8964,0.6024
evidence_only,0.75,44,0.8739,0.5944
evidence_only,0.75,45,0.8996,0.6081
evidence_only,0.75,46,0.8975,0.6063
evidence_only,0.75,47,0.8919,0.6050
evidence_only,0.75,48,0.8842,0.6032
evidence_only,0.75,49,0.8708,0.5957
evidence_only,1,0,0.9219,0.6065
evidence_only,1,1,0.9219,0.6065
evidence_only,1,2,0.9219,0.6065
evidence_only,1,3,0.9219,0.6065
evidence_only,1,4,0.9219,0.6065
evidence_only,1,5,0.9219,0.6065
evidence_only,1,6,0.9219,0.6065
evidence_only,1,7,0.9219,0.6065
evidence_only,1,8,0.9219,0.6065
evidence_only,1,9,0.9219,0.6065
evidence_only,1,10,0.9219,0.6065
evidence_only,1,11,0.9219,0.6065
evidence_only,1,12,0.9219,0.6065
evidence_only,1,13,0.9219,0.6065
evidence_only,1,14,0.9219,0.6065
evidence_only,1,15,0.9219,0.6065
evidence_only,1,16,0.9219,0.6065
evidence_only,1,17,0.9219,0.6065
evidence_only,1,18,0.9219,0.6065
evidence_only,1,19,0.9219,0.6065
evidence_only,1,20,0.9219,0.6065
evidence_only,1,21,0.9219,0.6065
evidence_only,1,22,0.9219,0.6065
evidence_only,1,23,0.9219,0.6065
evidence_only,1,24,0.9219,0.6065
evidence_only,1,25,0.9219,0.6065
evidence_only,1,26,0.9219,0.6065
evidence_only,1,27,0.9219,0.6065
evidence_only,1,28,0.9219,0.6065
evidence_only,1,29,0.9219,0.6065
evidence_only,1,30,0.9219,0.6065
evidence_only,1,31,0.9219,0.6065
evidence_only,1,32,0.9219,0.6065
evidence_only,1,33,0.9219,0.6065
evidence_only,1,34,0.9219,0.6065
evidence_only,1,35,0.9219,0.6065
evidence_only,1,36,0.9219,0.6065
evidence_only,1,37,0.9219,0.6065
evidence_only,1,38,0.9219,0.6065
evidence_only,1,39,0.9219,0.6065
evidence_only,1,40,0.9219,0.6065
evidence_only,1,41,0.9219,0.6065
evidence_only,1,42,0.9219,0.6065
evidence_only,1,43,0.9219,0.6065
evidence_only,1,44,0.9219,0.6065
evidence_only,1,45,0.9219,0.6065
evidence_only,1,46,0.9219,0.6065
evidence_only,1,47,0.9219,0.6065
evidence_only,1,48,0.9219,0.6065
evidence_only,1,49,0.9219,0.6065
