condition,mean_ms,p50_ms,p95_ms,min_ms,max_ms,peak_memory_kb,incremental_ms,status
baseline_plus_full_online_audit,1484.27137,1465.3654000000001,1536.2638,1422.7863,1624.8779,1050.4326171875,993.1012599999999,REPRODUCED
baseline_plus_invariance,938.58316,936.9756500000001,969.802,916.5498,976.9491,1057.6806640625,447.41305,REPRODUCED
baseline_plus_runtime_monitor,508.30719,509.76495,527.5468,474.493,548.2171,937.0908203125,17.13707999999997,REPRODUCED
baseline_plus_schema,514.05498,521.5758000000001,537.5983,443.3071,576.8316,995.6943359375,22.884869999999978,REPRODUCED
baseline_selection,491.17011,492.69640000000004,510.8354,444.1854,521.9437,937.0908203125,0.0,REPRODUCED
