split,qid_hash,method,demand_cov,ndcg,evidence_status,source_file,source_commit,source_sha256,notes
formal_train,qh_4ff8e21a3ec064a4,D0,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_4ff8e21a3ec064a4,D1,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_4ff8e21a3ec064a4,D2,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_4ff8e21a3ec064a4,D3,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_59482f8eba8213fc,B0,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_59482f8eba8213fc,D0,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_59482f8eba8213fc,D1,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_59482f8eba8213fc,D2,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_59482f8eba8213fc,D3,1.0,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
formal_train,qh_f822a32c7390df3b,B0,0.6,0.6489315753318465,VERIFIED_FROM_RELEASE,paper_results/per_query_minimal/formal_train_per_query.jsonl,876a16d098e1da3f642ef70854cbc985bae5f9e3,c6443f025b0ffdaf7adc4b7e5a2a198dc648b6012d6e895e3ef68e25eadd1f1a,selected document ids intentionally excluded
